2017-05-04 23:56:45 26.8℃ 43.4％ 1019.83hPa
2017-05-05 06:02:25 27.6℃ 40.7％ 1018.38hPa
2017-05-05 06:02:50 27.5℃ 40.7％ 1018.37hPa
2017-05-05 06:03:15 27.6℃ 40.7％ 1018.31hPa
2017-05-05 06:03:37 27.5℃ 40.7％ 1018.41hPa
2017-05-05 06:03:59 27.6℃ 40.8％ 1018.35hPa
2017-05-05 06:04:24 27.5℃ 40.8％ 1018.36hPa
2017-05-05 06:04:47 27.6℃ 40.7％ 1018.37hPa
2017-05-05 06:05:09 27.6℃ 40.7％ 1018.43hPa
2017-05-05 06:05:31 27.5℃ 40.7％ 1018.39hPa
2017-05-05 06:05:54 27.6℃ 40.8％ 1018.44hPa
2017-05-05 06:06:16 27.6℃ 40.8％ 1018.38hPa
2017-05-05 06:06:38 27.6℃ 40.7％ 1018.46hPa
2017-05-05 06:07:00 27.6℃ 40.7％ 1018.47hPa
2017-05-05 06:07:23 27.6℃ 40.6％ 1018.53hPa
2017-05-05 06:07:45 27.6℃ 40.6％ 1018.50hPa
2017-05-05 06:08:10 27.6℃ 40.7％ 1018.48hPa
2017-05-05 06:08:32 27.6℃ 40.8％ 1018.52hPa
2017-05-05 06:08:55 27.5℃ 40.7％ 1018.49hPa
2017-05-05 06:09:17 27.6℃ 40.7％ 1018.53hPa
2017-05-05 06:09:39 27.6℃ 40.7％ 1018.52hPa
2017-05-05 06:10:02 27.5℃ 40.6％ 1018.59hPa
2017-05-05 06:10:24 27.7℃ 40.6％ 1018.53hPa
2017-05-05 06:10:46 27.6℃ 40.6％ 1018.55hPa
2017-05-05 06:11:08 27.6℃ 40.6％ 1018.57hPa
2017-05-05 06:11:31 27.6℃ 40.6％ 1018.52hPa
2017-05-05 06:11:53 27.6℃ 40.6％ 1018.57hPa
2017-05-05 06:12:15 27.5℃ 40.7％ 1018.52hPa
2017-05-05 06:12:40 27.6℃ 40.8％ 1018.55hPa
2017-05-05 06:13:02 27.6℃ 40.7％ 1018.59hPa
2017-05-05 06:13:25 27.6℃ 40.7％ 1018.61hPa
2017-05-05 06:13:47 27.7℃ 40.7％ 1018.70hPa
2017-05-05 06:14:09 27.7℃ 40.7％ 1018.65hPa
2017-05-05 06:14:34 27.6℃ 40.8％ 1018.69hPa
2017-05-05 06:14:57 27.6℃ 40.8％ 1018.62hPa
2017-05-05 06:15:19 27.6℃ 40.7％ 1018.70hPa
2017-05-05 06:15:41 27.6℃ 40.8％ 1018.70hPa
2017-05-05 06:16:03 27.6℃ 40.8％ 1018.69hPa
2017-05-05 06:16:26 27.5℃ 40.8％ 1018.72hPa
2017-05-05 06:16:48 27.5℃ 40.8％ 1018.72hPa
2017-05-05 06:17:10 27.5℃ 40.8％ 1018.73hPa
2017-05-05 06:17:33 27.5℃ 40.8％ 1018.77hPa
2017-05-05 06:17:57 27.4℃ 40.8％ 1018.83hPa
2017-05-05 06:18:20 27.5℃ 40.8％ 1018.74hPa
2017-05-05 06:18:42 27.5℃ 40.8％ 1018.87hPa
2017-05-05 06:19:04 27.5℃ 40.8％ 1018.79hPa
2017-05-05 06:19:27 27.5℃ 40.8％ 1018.83hPa
2017-05-05 06:19:49 27.4℃ 40.8％ 1018.85hPa
2017-05-05 06:20:11 27.5℃ 40.9％ 1018.82hPa
2017-05-05 06:20:33 27.5℃ 40.9％ 1018.72hPa
2017-05-05 06:20:56 27.4℃ 40.9％ 1018.77hPa
2017-05-05 06:21:18 27.6℃ 40.9％ 1018.75hPa
2017-05-05 06:21:40 27.5℃ 40.8％ 1018.73hPa
2017-05-05 06:22:05 27.5℃ 40.8％ 1018.77hPa
2017-05-05 06:22:28 27.5℃ 40.8％ 1018.79hPa
2017-05-05 06:22:50 27.6℃ 40.8％ 1018.75hPa
2017-05-05 06:23:12 27.5℃ 40.7％ 1018.72hPa
2017-05-05 06:23:35 27.6℃ 40.8％ 1018.70hPa
2017-05-05 06:23:59 27.5℃ 40.8％ 1018.70hPa
2017-05-05 06:24:22 27.5℃ 40.8％ 1018.71hPa
2017-05-05 06:24:44 27.6℃ 40.7％ 1018.70hPa
2017-05-05 06:25:06 27.6℃ 40.7％ 1018.70hPa
2017-05-05 06:25:28 27.5℃ 40.6％ 1018.64hPa
2017-05-05 06:25:50 27.6℃ 40.6％ 1018.60hPa
2017-05-05 06:26:15 27.5℃ 40.6％ 1018.70hPa
2017-05-05 06:26:38 27.5℃ 40.6％ 1018.70hPa
2017-05-05 06:27:00 27.5℃ 40.5％ 1018.73hPa
2017-05-05 06:27:22 27.5℃ 40.6％ 1018.76hPa
2017-05-05 06:27:45 27.6℃ 40.6％ 1018.76hPa
2017-05-05 06:28:07 27.6℃ 40.6％ 1018.75hPa
2017-05-05 06:28:29 27.5℃ 40.6％ 1018.74hPa
2017-05-05 06:28:52 27.6℃ 40.6％ 1018.74hPa
2017-05-05 06:29:14 27.6℃ 40.6％ 1018.80hPa
2017-05-05 06:29:36 27.5℃ 40.6％ 1018.84hPa
2017-05-05 06:29:58 27.6℃ 40.6％ 1018.74hPa
2017-05-05 06:30:21 27.6℃ 40.6％ 1018.75hPa
2017-05-05 06:30:48 27.5℃ 40.5％ 1018.74hPa
2017-05-05 06:31:10 27.5℃ 40.5％ 1018.77hPa
2017-05-05 06:31:33 27.5℃ 40.4％ 1018.72hPa
2017-05-05 06:31:55 27.5℃ 40.4％ 1018.83hPa
2017-05-05 06:32:20 27.6℃ 40.4％ 1018.77hPa
2017-05-05 06:32:45 27.5℃ 40.4％ 1018.70hPa
2017-05-05 06:33:17 27.5℃ 40.5％ 1018.75hPa
2017-05-05 06:33:39 27.5℃ 40.5％ 1018.75hPa
2017-05-05 06:34:02 27.5℃ 40.6％ 1018.74hPa
2017-05-05 06:34:24 27.5℃ 40.6％ 1018.75hPa
2017-05-05 06:34:46 27.4℃ 40.6％ 1018.74hPa
2017-05-05 06:35:09 27.6℃ 40.6％ 1018.80hPa
2017-05-05 06:35:31 27.6℃ 40.5％ 1018.72hPa
2017-05-05 06:35:56 27.5℃ 40.5％ 1018.74hPa
2017-05-05 06:36:18 27.5℃ 40.5％ 1018.76hPa
2017-05-05 06:36:40 27.5℃ 40.5％ 1018.79hPa
2017-05-05 06:37:03 27.5℃ 40.5％ 1018.74hPa
2017-05-05 06:37:25 27.4℃ 40.6％ 1018.77hPa
2017-05-05 06:37:47 27.5℃ 40.6％ 1018.77hPa
2017-05-05 06:38:10 27.4℃ 40.6％ 1018.72hPa
2017-05-05 06:38:32 27.4℃ 40.6％ 1018.76hPa
2017-05-05 06:38:54 27.5℃ 40.6％ 1018.85hPa
2017-05-05 06:39:17 27.5℃ 40.6％ 1018.75hPa
2017-05-05 06:39:39 27.5℃ 40.6％ 1018.78hPa
2017-05-05 06:40:01 27.5℃ 40.6％ 1018.79hPa
2017-05-05 06:40:23 27.5℃ 40.6％ 1018.77hPa
2017-05-05 06:40:45 27.5℃ 40.6％ 1018.85hPa
2017-05-05 06:41:08 27.5℃ 40.6％ 1018.75hPa
2017-05-05 06:41:30 27.5℃ 40.5％ 1018.79hPa
2017-05-05 06:41:52 27.5℃ 40.5％ 1018.74hPa
2017-05-05 06:42:15 27.5℃ 40.5％ 1018.84hPa
2017-05-05 06:42:37 27.4℃ 40.5％ 1018.76hPa
2017-05-05 06:42:59 27.4℃ 40.6％ 1018.86hPa
2017-05-05 06:43:22 27.5℃ 40.6％ 1018.80hPa
2017-05-05 06:43:44 27.5℃ 40.7％ 1018.78hPa
2017-05-05 06:44:09 27.5℃ 40.6％ 1018.82hPa
2017-05-05 06:44:31 27.4℃ 40.5％ 1018.87hPa
2017-05-05 06:44:53 27.6℃ 40.5％ 1018.86hPa
2017-05-05 06:45:16 27.5℃ 40.5％ 1018.83hPa
2017-05-05 06:45:38 27.5℃ 40.5％ 1018.83hPa
2017-05-05 06:46:00 27.6℃ 40.5％ 1018.90hPa
2017-05-05 06:46:23 27.5℃ 40.5％ 1018.88hPa
2017-05-05 06:46:45 27.5℃ 40.5％ 1018.96hPa
2017-05-05 06:47:07 27.5℃ 40.5％ 1018.95hPa
2017-05-05 06:47:30 27.4℃ 40.5％ 1018.96hPa
2017-05-05 06:47:52 27.5℃ 40.6％ 1018.93hPa
2017-05-05 06:48:14 27.5℃ 40.7％ 1018.95hPa
2017-05-05 06:48:36 27.5℃ 40.7％ 1018.97hPa
2017-05-05 06:49:01 27.4℃ 40.7％ 1019.04hPa
2017-05-05 06:49:24 27.4℃ 40.6％ 1018.97hPa
2017-05-05 06:49:46 27.5℃ 40.6％ 1018.96hPa
2017-05-05 06:50:11 27.5℃ 40.7％ 1019.04hPa
2017-05-05 06:50:33 27.5℃ 40.7％ 1019.05hPa
2017-05-05 06:50:55 27.4℃ 40.7％ 1019.01hPa
2017-05-05 06:51:23 27.4℃ 40.6％ 1019.03hPa
2017-05-05 06:51:45 27.5℃ 40.6％ 1019.04hPa
2017-05-05 06:52:07 27.5℃ 40.5％ 1019.05hPa
2017-05-05 06:52:30 27.4℃ 40.5％ 1019.04hPa
2017-05-05 06:52:52 27.5℃ 40.5％ 1019.05hPa
2017-05-05 06:53:14 27.6℃ 40.5％ 1019.05hPa
2017-05-05 06:53:36 27.5℃ 40.6％ 1019.02hPa
2017-05-05 06:53:58 27.4℃ 40.7％ 1018.99hPa
2017-05-05 06:54:21 27.5℃ 40.6％ 1019.00hPa
2017-05-05 06:54:43 27.5℃ 39.9％ 1019.00hPa
2017-05-05 06:55:05 27.4℃ 39.2％ 1018.95hPa
2017-05-05 06:55:28 27.4℃ 38.4％ 1018.97hPa
2017-05-05 06:55:50 27.5℃ 37.9％ 1018.97hPa
2017-05-05 06:56:12 27.5℃ 37.6％ 1018.99hPa
2017-05-05 06:56:34 27.5℃ 37.5％ 1018.94hPa
2017-05-05 06:56:57 27.6℃ 37.4％ 1018.94hPa
2017-05-05 06:57:19 27.6℃ 37.1％ 1018.94hPa
2017-05-05 06:57:41 27.6℃ 36.8％ 1018.96hPa
2017-05-05 06:58:04 27.5℃ 36.6％ 1018.92hPa
2017-05-05 06:58:26 27.6℃ 36.5％ 1018.92hPa
2017-05-05 06:58:48 27.6℃ 36.5％ 1018.92hPa
2017-05-05 06:59:11 27.6℃ 36.4％ 1018.93hPa
2017-05-05 06:59:33 27.6℃ 36.2％ 1018.95hPa
2017-05-05 06:59:55 27.6℃ 36.1％ 1018.94hPa
2017-05-05 07:00:18 27.6℃ 35.9％ 1018.88hPa
2017-05-05 07:00:40 27.6℃ 35.7％ 1018.90hPa
2017-05-05 07:01:02 27.6℃ 35.6％ 1018.93hPa
2017-05-05 07:01:24 27.6℃ 35.4％ 1018.82hPa
2017-05-05 07:01:47 27.5℃ 35.3％ 1018.90hPa
2017-05-05 07:02:09 27.5℃ 35.2％ 1018.85hPa
2017-05-05 07:02:34 27.5℃ 35.1％ 1018.80hPa
2017-05-05 07:02:56 27.6℃ 35.1％ 1018.84hPa
2017-05-05 07:03:19 27.5℃ 35.0％ 1018.84hPa
2017-05-05 07:03:41 27.6℃ 35.0％ 1018.74hPa
2017-05-05 07:04:03 27.6℃ 34.9％ 1018.86hPa
2017-05-05 07:04:28 27.6℃ 34.8％ 1018.81hPa
2017-05-05 07:04:50 27.6℃ 34.8％ 1018.80hPa
2017-05-05 07:05:13 27.6℃ 34.8％ 1018.84hPa
2017-05-05 07:05:35 27.6℃ 34.7％ 1018.83hPa
2017-05-05 07:05:57 27.5℃ 34.7％ 1018.75hPa
2017-05-05 07:06:20 27.5℃ 34.7％ 1018.79hPa
2017-05-05 07:06:42 27.5℃ 34.7％ 1018.80hPa
2017-05-05 07:07:04 27.5℃ 34.7％ 1018.85hPa
2017-05-05 07:07:27 27.5℃ 34.6％ 1018.76hPa
2017-05-05 07:07:49 27.6℃ 34.6％ 1018.79hPa
2017-05-05 07:08:11 27.5℃ 34.6％ 1018.80hPa
2017-05-05 07:08:33 27.5℃ 34.6％ 1018.82hPa
2017-05-05 07:08:56 27.5℃ 34.5％ 1018.80hPa
2017-05-05 07:09:18 27.5℃ 34.5％ 1018.81hPa
2017-05-05 07:09:40 27.5℃ 34.5％ 1018.79hPa
2017-05-05 07:10:03 27.6℃ 34.5％ 1018.84hPa
2017-05-05 07:10:25 27.6℃ 34.5％ 1018.78hPa
2017-05-05 07:10:47 27.6℃ 34.5％ 1018.75hPa
2017-05-05 07:11:12 27.6℃ 34.4％ 1018.80hPa
2017-05-05 07:11:34 27.5℃ 34.3％ 1018.74hPa
2017-05-05 07:11:57 27.5℃ 34.2％ 1018.76hPa
2017-05-05 07:12:19 27.6℃ 34.3％ 1018.79hPa
2017-05-05 07:12:44 27.5℃ 34.2％ 1018.78hPa
2017-05-05 07:13:09 27.4℃ 34.2％ 1018.72hPa
2017-05-05 07:13:31 27.6℃ 34.1％ 1018.71hPa
2017-05-05 07:13:53 27.5℃ 34.1％ 1018.75hPa
2017-05-05 07:14:16 27.4℃ 34.1％ 1018.74hPa
2017-05-05 07:14:38 27.5℃ 34.0％ 1018.76hPa
2017-05-05 07:15:00 27.5℃ 34.0％ 1018.75hPa
2017-05-05 07:15:23 27.5℃ 34.0％ 1018.80hPa
2017-05-05 07:15:45 27.4℃ 34.0％ 1018.80hPa
2017-05-05 07:16:10 27.4℃ 34.0％ 1018.84hPa
2017-05-05 07:16:32 27.3℃ 33.9％ 1018.85hPa
2017-05-05 07:16:54 27.4℃ 33.9％ 1018.86hPa
2017-05-05 07:17:17 27.4℃ 34.0％ 1018.79hPa
2017-05-05 07:17:41 27.4℃ 34.1％ 1018.72hPa
2017-05-05 07:18:04 27.4℃ 34.1％ 1018.73hPa
2017-05-05 07:18:26 27.3℃ 34.1％ 1018.80hPa
2017-05-05 07:18:48 27.4℃ 34.0％ 1018.65hPa
2017-05-05 07:19:11 27.4℃ 34.0％ 1018.74hPa
2017-05-05 07:19:33 27.4℃ 34.0％ 1018.69hPa
2017-05-05 07:19:55 27.4℃ 34.1％ 1018.74hPa
2017-05-05 07:20:20 27.4℃ 34.1％ 1018.76hPa
2017-05-05 07:20:42 27.4℃ 34.0％ 1018.74hPa
2017-05-05 07:21:05 27.3℃ 34.0％ 1018.85hPa
2017-05-05 07:21:27 27.4℃ 34.0％ 1018.75hPa
2017-05-05 07:21:49 27.3℃ 34.0％ 1018.85hPa
2017-05-05 07:22:14 27.3℃ 34.0％ 1018.78hPa
2017-05-05 07:22:36 27.4℃ 34.1％ 1018.81hPa
2017-05-05 07:22:59 27.3℃ 34.0％ 1018.77hPa
2017-05-05 07:23:21 27.3℃ 34.0％ 1018.78hPa
2017-05-05 07:23:48 27.3℃ 34.0％ 1018.77hPa
2017-05-05 07:24:11 27.3℃ 34.0％ 1018.79hPa
2017-05-05 07:24:33 27.3℃ 34.0％ 1018.81hPa
2017-05-05 07:24:55 27.3℃ 33.9％ 1018.83hPa
2017-05-05 07:25:18 27.4℃ 33.9％ 1018.79hPa
2017-05-05 07:25:40 27.3℃ 33.9％ 1018.81hPa
2017-05-05 07:26:02 27.4℃ 33.9％ 1018.78hPa
2017-05-05 07:26:25 27.3℃ 33.8％ 1018.80hPa
2017-05-05 07:26:47 27.4℃ 33.8％ 1018.73hPa
2017-05-05 07:27:09 27.3℃ 33.8％ 1018.74hPa
2017-05-05 07:27:32 27.4℃ 33.8％ 1018.72hPa
2017-05-05 07:27:59 27.4℃ 33.8％ 1018.74hPa
2017-05-05 07:28:21 27.3℃ 33.7％ 1018.71hPa
2017-05-05 07:28:44 27.3℃ 33.7％ 1018.73hPa
2017-05-05 07:29:06 27.2℃ 33.7％ 1018.71hPa
2017-05-05 07:29:28 27.3℃ 33.7％ 1018.74hPa
2017-05-05 07:29:50 27.3℃ 33.8％ 1018.73hPa
2017-05-05 07:30:13 27.3℃ 33.8％ 1018.77hPa
2017-05-05 07:30:35 27.2℃ 33.8％ 1018.70hPa
2017-05-05 07:30:57 27.2℃ 33.8％ 1018.76hPa
2017-05-05 07:31:20 27.3℃ 33.8％ 1018.78hPa
2017-05-05 07:31:42 27.3℃ 33.9％ 1018.74hPa
2017-05-05 07:32:04 27.3℃ 33.9％ 1018.79hPa
2017-05-05 07:32:29 27.4℃ 33.8％ 1018.74hPa
2017-05-05 07:32:51 27.4℃ 33.8％ 1018.76hPa
2017-05-05 07:33:14 27.3℃ 33.8％ 1018.73hPa
2017-05-05 07:33:36 27.3℃ 33.8％ 1018.71hPa
2017-05-05 07:33:58 27.4℃ 33.8％ 1018.73hPa
2017-05-05 07:34:21 27.3℃ 33.8％ 1018.71hPa
2017-05-05 07:34:43 27.4℃ 33.7％ 1018.76hPa
2017-05-05 07:35:05 27.3℃ 33.7％ 1018.76hPa
2017-05-05 07:35:30 27.3℃ 33.7％ 1018.76hPa
2017-05-05 07:35:52 27.4℃ 33.7％ 1018.77hPa
2017-05-05 07:36:15 27.4℃ 33.7％ 1018.80hPa
2017-05-05 07:36:37 27.4℃ 33.6％ 1018.72hPa
2017-05-05 07:36:59 27.3℃ 33.6％ 1018.74hPa
2017-05-05 07:37:22 27.3℃ 33.6％ 1018.74hPa
2017-05-05 07:37:44 27.3℃ 33.6％ 1018.77hPa
2017-05-05 07:38:06 27.3℃ 33.7％ 1018.70hPa
2017-05-05 07:38:29 27.3℃ 33.7％ 1018.70hPa
2017-05-05 07:38:51 27.3℃ 33.8％ 1018.70hPa
2017-05-05 07:39:16 27.3℃ 33.7％ 1018.63hPa
2017-05-05 07:39:38 27.4℃ 33.7％ 1018.70hPa
2017-05-05 07:40:00 27.4℃ 33.7％ 1018.63hPa
2017-05-05 07:40:25 27.3℃ 33.6％ 1018.61hPa
2017-05-05 07:40:47 27.3℃ 33.6％ 1018.73hPa
2017-05-05 07:41:10 27.2℃ 33.6％ 1018.70hPa
2017-05-05 07:41:32 27.3℃ 33.6％ 1018.71hPa
2017-05-05 07:41:54 27.4℃ 33.7％ 1018.69hPa
2017-05-05 07:42:17 27.4℃ 33.7％ 1018.75hPa
2017-05-05 07:42:39 27.3℃ 33.7％ 1018.62hPa
2017-05-05 07:43:01 27.4℃ 33.6％ 1018.61hPa
2017-05-05 07:43:24 27.4℃ 33.6％ 1018.59hPa
2017-05-05 07:43:46 27.4℃ 33.6％ 1018.65hPa
2017-05-05 07:44:08 27.3℃ 33.6％ 1018.64hPa
2017-05-05 07:44:31 27.3℃ 33.6％ 1018.64hPa
2017-05-05 07:44:53 27.2℃ 33.6％ 1018.71hPa
2017-05-05 07:45:15 27.2℃ 33.7％ 1018.75hPa
2017-05-05 07:45:38 27.1℃ 33.6％ 1018.74hPa
2017-05-05 07:46:00 27.3℃ 33.6％ 1018.72hPa
2017-05-05 07:46:22 27.2℃ 33.7％ 1018.71hPa
2017-05-05 07:46:44 27.2℃ 33.7％ 1018.70hPa
2017-05-05 07:47:12 27.2℃ 33.7％ 1018.70hPa
2017-05-05 07:47:34 27.3℃ 33.7％ 1018.69hPa
2017-05-05 07:47:59 27.2℃ 33.8％ 1018.71hPa
2017-05-05 07:48:21 27.3℃ 33.8％ 1018.64hPa
2017-05-05 07:48:44 27.2℃ 33.7％ 1018.61hPa
2017-05-05 07:49:06 27.2℃ 33.7％ 1018.65hPa
2017-05-05 07:49:31 27.2℃ 33.7％ 1018.59hPa
2017-05-05 07:49:53 27.2℃ 33.7％ 1018.70hPa
2017-05-05 07:50:15 27.2℃ 33.7％ 1018.70hPa
2017-05-05 07:50:40 27.2℃ 33.7％ 1018.63hPa
2017-05-05 07:51:07 27.3℃ 33.7％ 1018.60hPa
2017-05-05 07:51:30 27.1℃ 33.6％ 1018.63hPa
2017-05-05 07:51:52 27.2℃ 33.7％ 1018.63hPa
2017-05-05 07:52:14 27.2℃ 33.7％ 1018.56hPa
2017-05-05 07:52:37 27.1℃ 33.7％ 1018.63hPa
2017-05-05 07:52:59 27.1℃ 33.6％ 1018.54hPa
2017-05-05 07:53:21 27.1℃ 33.7％ 1018.61hPa
2017-05-05 07:53:43 27.1℃ 33.7％ 1018.61hPa
2017-05-05 07:54:06 27.1℃ 33.8％ 1018.59hPa
2017-05-05 07:54:31 27.2℃ 33.8％ 1018.55hPa
2017-05-05 07:54:55 27.0℃ 33.8％ 1018.49hPa
2017-05-05 07:55:18 27.1℃ 33.8％ 1018.53hPa
2017-05-05 07:55:40 27.1℃ 33.8％ 1018.55hPa
2017-05-05 07:56:02 27.1℃ 33.8％ 1018.43hPa
2017-05-05 07:56:25 27.1℃ 33.8％ 1018.50hPa
2017-05-05 07:56:47 27.0℃ 33.9％ 1018.47hPa
2017-05-05 07:57:09 27.0℃ 33.9％ 1018.44hPa
2017-05-05 07:57:32 27.0℃ 33.9％ 1018.48hPa
2017-05-05 07:57:54 27.0℃ 33.9％ 1018.45hPa
2017-05-05 07:58:16 27.1℃ 33.9％ 1018.52hPa
2017-05-05 07:58:38 27.1℃ 33.9％ 1018.43hPa
2017-05-05 07:59:03 27.1℃ 33.9％ 1018.53hPa
2017-05-05 07:59:26 27.0℃ 33.9％ 1018.52hPa
2017-05-05 07:59:48 27.1℃ 33.9％ 1018.53hPa
2017-05-05 08:00:10 27.2℃ 33.9％ 1018.45hPa
2017-05-05 08:00:33 27.1℃ 33.9％ 1018.51hPa
2017-05-05 08:00:55 27.2℃ 33.9％ 1018.56hPa
2017-05-05 08:01:17 27.1℃ 33.9％ 1018.59hPa
2017-05-05 08:01:39 27.2℃ 33.9％ 1018.52hPa
2017-05-05 08:02:02 27.2℃ 33.8％ 1018.52hPa
2017-05-05 08:02:24 27.2℃ 33.8％ 1018.52hPa
2017-05-05 08:02:46 27.2℃ 33.8％ 1018.52hPa
2017-05-05 08:03:09 27.1℃ 33.8％ 1018.52hPa
2017-05-05 08:03:31 27.2℃ 33.7％ 1018.58hPa
2017-05-05 08:03:53 27.1℃ 33.7％ 1018.53hPa
2017-05-05 08:04:16 27.1℃ 33.7％ 1018.51hPa
2017-05-05 08:04:38 27.1℃ 33.7％ 1018.50hPa
2017-05-05 08:05:00 27.1℃ 33.7％ 1018.57hPa
2017-05-05 08:05:23 27.1℃ 33.7％ 1018.54hPa
2017-05-05 08:05:45 27.1℃ 33.7％ 1018.58hPa
2017-05-05 08:06:07 27.2℃ 33.7％ 1018.56hPa
2017-05-05 08:06:30 27.0℃ 33.8％ 1018.60hPa
2017-05-05 08:06:52 27.0℃ 33.8％ 1018.59hPa
2017-05-05 08:07:14 27.0℃ 33.9％ 1018.61hPa
2017-05-05 08:07:36 27.0℃ 34.0％ 1018.63hPa
2017-05-05 08:07:59 27.0℃ 34.0％ 1018.64hPa
2017-05-05 08:08:21 27.1℃ 34.0％ 1018.70hPa
2017-05-05 08:08:43 27.1℃ 34.0％ 1018.64hPa
2017-05-05 08:09:06 27.1℃ 33.9％ 1018.71hPa
2017-05-05 08:09:28 27.1℃ 33.9％ 1018.61hPa
2017-05-05 08:09:50 27.0℃ 33.9％ 1018.64hPa
2017-05-05 08:10:13 27.1℃ 33.9％ 1018.60hPa
2017-05-05 08:10:37 27.1℃ 33.9％ 1018.65hPa
2017-05-05 08:11:00 27.2℃ 33.9％ 1018.76hPa
2017-05-05 08:11:22 27.0℃ 34.0％ 1018.70hPa
2017-05-05 08:11:44 27.1℃ 34.1％ 1018.70hPa
2017-05-05 08:12:07 27.0℃ 34.1％ 1018.74hPa
2017-05-05 08:12:29 27.2℃ 34.2％ 1018.78hPa
2017-05-05 08:12:51 27.0℃ 34.1％ 1018.70hPa
2017-05-05 08:13:14 27.0℃ 34.0％ 1018.76hPa
2017-05-05 08:13:36 27.1℃ 33.9％ 1018.70hPa
2017-05-05 08:13:58 27.1℃ 33.9％ 1018.75hPa
2017-05-05 08:14:20 27.1℃ 33.9％ 1018.72hPa
2017-05-05 08:14:43 27.2℃ 33.8％ 1018.73hPa
2017-05-05 08:15:05 27.2℃ 33.7％ 1018.78hPa
2017-05-05 08:15:27 27.2℃ 33.7％ 1018.74hPa
2017-05-05 08:15:50 27.3℃ 33.6％ 1018.76hPa
2017-05-05 08:16:12 27.3℃ 33.5％ 1018.81hPa
2017-05-05 08:16:37 27.4℃ 33.4％ 1018.77hPa
2017-05-05 08:16:59 27.2℃ 33.4％ 1018.79hPa
2017-05-05 08:17:24 27.4℃ 33.4％ 1018.73hPa
2017-05-05 08:17:49 27.3℃ 33.4％ 1018.73hPa
2017-05-05 08:18:14 27.3℃ 33.3％ 1018.69hPa
2017-05-05 08:18:38 27.3℃ 33.2％ 1018.71hPa
2017-05-05 08:19:01 27.3℃ 33.3％ 1018.62hPa
2017-05-05 08:19:23 27.4℃ 33.3％ 1018.70hPa
2017-05-05 08:19:45 27.4℃ 33.3％ 1018.59hPa
2017-05-05 08:20:07 27.4℃ 33.3％ 1018.60hPa
2017-05-05 08:20:30 27.3℃ 33.2％ 1018.62hPa
2017-05-05 08:20:52 27.3℃ 33.2％ 1018.56hPa
2017-05-05 08:21:17 27.2℃ 33.2％ 1018.57hPa
2017-05-05 08:21:39 27.2℃ 33.2％ 1018.51hPa
2017-05-05 08:22:02 27.3℃ 33.2％ 1018.51hPa
2017-05-05 08:22:24 27.3℃ 33.2％ 1018.61hPa
2017-05-05 08:22:49 27.2℃ 33.3％ 1018.52hPa
2017-05-05 08:23:11 27.3℃ 33.3％ 1018.54hPa
2017-05-05 08:23:36 27.2℃ 33.3％ 1018.52hPa
2017-05-05 08:23:58 27.3℃ 33.2％ 1018.47hPa
2017-05-05 08:24:23 27.2℃ 33.2％ 1018.50hPa
2017-05-05 08:24:45 27.2℃ 33.2％ 1018.51hPa
2017-05-05 08:25:08 27.2℃ 33.2％ 1018.48hPa
2017-05-05 08:25:30 27.1℃ 33.2％ 1018.52hPa
2017-05-05 08:25:55 27.1℃ 33.2％ 1018.43hPa
2017-05-05 08:26:17 27.2℃ 33.3％ 1018.44hPa
2017-05-05 08:26:39 27.2℃ 33.3％ 1018.49hPa
2017-05-05 08:27:02 27.1℃ 33.4％ 1018.49hPa
2017-05-05 08:27:24 27.2℃ 33.3％ 1018.52hPa
2017-05-05 08:27:46 27.1℃ 33.3％ 1018.51hPa
2017-05-05 08:28:09 27.2℃ 33.3％ 1018.61hPa
2017-05-05 08:28:33 27.2℃ 33.4％ 1018.51hPa
2017-05-05 08:28:56 27.1℃ 33.4％ 1018.57hPa
2017-05-05 08:29:21 27.2℃ 33.3％ 1018.60hPa
2017-05-05 08:29:43 27.2℃ 33.4％ 1018.56hPa
2017-05-05 08:30:05 27.0℃ 33.3％ 1018.59hPa
2017-05-05 08:30:28 27.2℃ 33.3％ 1018.63hPa
2017-05-05 08:30:50 27.1℃ 33.3％ 1018.59hPa
2017-05-05 08:31:12 27.1℃ 33.3％ 1018.63hPa
2017-05-05 08:31:35 27.2℃ 33.3％ 1018.57hPa
2017-05-05 08:31:57 27.2℃ 33.3％ 1018.52hPa
2017-05-05 08:32:19 27.2℃ 33.4％ 1018.60hPa
2017-05-05 08:32:41 27.2℃ 33.4％ 1018.53hPa
2017-05-05 08:33:04 27.1℃ 33.4％ 1018.52hPa
2017-05-05 08:33:26 27.1℃ 33.4％ 1018.52hPa
2017-05-05 08:33:48 27.1℃ 33.3％ 1018.57hPa
2017-05-05 08:34:11 27.2℃ 33.3％ 1018.53hPa
2017-05-05 08:34:33 27.1℃ 33.3％ 1018.45hPa
2017-05-05 08:34:55 27.0℃ 33.4％ 1018.52hPa
2017-05-05 08:35:18 27.2℃ 33.4％ 1018.49hPa
2017-05-05 08:35:40 27.1℃ 33.4％ 1018.54hPa
2017-05-05 08:36:07 27.1℃ 33.3％ 1018.52hPa
2017-05-05 08:36:30 27.1℃ 33.3％ 1018.52hPa
2017-05-05 08:36:52 27.1℃ 33.4％ 1018.53hPa
2017-05-05 08:37:14 27.1℃ 33.3％ 1018.51hPa
